project_name,project_ticker,project_link,project_round,project_total_raised,project_pre_valuation,project_categories,project_roi,project_date,project_total_investors
Rebel Bots Epic War,RBAX,https://icodrops.com/rebel-bots-epic-war/,SHO on DAO Maker,2100000,70000000,Gaming,,2024-10-08,13
Scroll,SCR,https://icodrops.com/scroll/,Binance Launchpool,83000000,992000000,Blockchain,0.85,2024-10-09,10
Omnia,OMNIA,https://icodrops.com/omnia/,IDO on ChainGPT,3500000,23130000,DePIN,0.66,2024-10-05,19
AutoLayer,LAY3R,https://icodrops.com/autolayer/,GemPool on Kucoin,2500000,3410000,DeFi,0.18,2024-09-30,7
Lyvely,LVLY,https://icodrops.com/lyvely/,IEO on Gate.io,,147000000,Social,1.22,2024-10-08,2
Thruster,THRUST,https://icodrops.com/thruster/,Airdrop,7500000,42030000,DEX,0.81,2024-10-09,16
Trakx,,https://icodrops.com/trakx/,SHO on DAO Maker,3690000,25000000,Trading,,2024-10-01,1
MetaVirus,MVT,https://icodrops.com/metavirus/,IDO on Spores,,,GameFi,,2024-09-30,5
DexToro,DTORO,https://icodrops.com/dextoro/,Seed Round,268000,18880000,DeFi,,2024-09-01,0
Degen Distillery,,https://icodrops.com/degen-distillery/,IEO on Gate.io,1840000,12980000,Blockchain Service,,2024-09-30,0
Enso Finance,ENSO,https://icodrops.com/ensofinance/,Community Auction,9200000,,Blockchain Service,,2024-09-01,13
ether.fi,ETHFI,https://icodrops.com/ether-fi/,Points Farming,32299999,2180000000,Liquid Staking Prot…,1.34,2023-03-01,27
Argy Bargy,ARGY,https://icodrops.com/argy-bargy/,IDO on Spores,,42000000,GameFi,,2024-09-25,0
Hamster Kombat,HMSTR,https://icodrops.com/hamster-kombat/,Binance Launchpool,,308900000,Gaming,0.31,2024-09-23,0
Unioverse,UNIO,https://icodrops.com/unioverse/,SHO on DAO Maker,,35000000,GameFi,,2024-09-18,0
Infinex,,https://icodrops.com/infinex/,Patron Sale,130580000,,DEX,,2024-09-10,42
Pencils Protocol (PenPad),DAPP,https://icodrops.com/pencils-protocol/,Staking Pool,2100000,80000000,DeFi,0.06,2024-09-22,16
Zivoe,ZVE,https://icodrops.com/zivoe/,ITO,14380000,,DeFi,,2024-08-22,3
Catizen,CATI,https://icodrops.com/catizen/,Binance Launchpool,,378600000,Gaming,,2024-09-16,12
Staynex,STAY,https://icodrops.com/staynex/,IDO on DAO Maker,,35000000,Blockchain Service,,2024-09-09,0
